technique,angle,reference_key,status,source_url,source_url_1,source_url_2,source_url_3,source_url_4,segment_start_s,segment_end_s,quality,notes,target_technique_key,record_reference_key,command_ready,command
ushiro_geri,right45,ushiro_geri__right45,pending,,,,,,,,,needs source url: karate ushiro geri back kick tutorial right 45 degree view,ushiro_geri,ushiro_geri__right45,no,
ushiro_geri,side,ushiro_geri__side,pending,,,,,,,,,needs source url: karate ushiro geri back kick tutorial side view,ushiro_geri,ushiro_geri__side,no,
ushiro_geri,side_left,ushiro_geri__side_left,pending,,,,,,,,,needs source url: karate ushiro geri back kick tutorial side left view,ushiro_geri,ushiro_geri__side_left,no,
ushiro_geri,side_right,ushiro_geri__side_right,pending,,,,,,,,,needs source url: karate ushiro geri back kick tutorial side right view,ushiro_geri,ushiro_geri__side_right,no,
ushiro_geri,behind,ushiro_geri__behind,pending,,,,,,,,,needs source url: karate ushiro geri back kick tutorial back view,ushiro_geri,ushiro_geri__behind,no,
ura_mawashi_geri,front,ura_mawashi_geri__front,pending,,,,,,,,,needs source url: karate ura mawashi geri hook kick tutorial front view,ura_mawashi_geri,ura_mawashi_geri__front,no,
ura_mawashi_geri,left45,ura_mawashi_geri__left45,pending,,,,,,,,,needs source url: karate ura mawashi geri hook kick tutorial left 45 degree view,ura_mawashi_geri,ura_mawashi_geri__left45,no,
ura_mawashi_geri,right45,ura_mawashi_geri__right45,pending,,,,,,,,,needs source url: karate ura mawashi geri hook kick tutorial right 45 degree view,ura_mawashi_geri,ura_mawashi_geri__right45,no,
ura_mawashi_geri,side,ura_mawashi_geri__side,pending,,,,,,,,,needs source url: karate ura mawashi geri hook kick tutorial side view,ura_mawashi_geri,ura_mawashi_geri__side,no,
ura_mawashi_geri,side_left,ura_mawashi_geri__side_left,pending,,,,,,,,,needs source url: karate ura mawashi geri hook kick tutorial side left view,ura_mawashi_geri,ura_mawashi_geri__side_left,no,
ura_mawashi_geri,side_right,ura_mawashi_geri__side_right,pending,,,,,,,,,needs source url: karate ura mawashi geri hook kick tutorial side right view,ura_mawashi_geri,ura_mawashi_geri__side_right,no,
ura_mawashi_geri,behind,ura_mawashi_geri__behind,pending,,,,,,,,,needs source url: karate ura mawashi geri hook kick tutorial back view,ura_mawashi_geri,ura_mawashi_geri__behind,no,
hiza_geri,front,hiza_geri__front,pending,,,,,,,,,needs source url: karate hiza geri knee strike tutorial front view,hiza_geri,hiza_geri__front,no,
hiza_geri,left45,hiza_geri__left45,pending,,,,,,,,,needs source url: karate hiza geri knee strike tutorial left 45 degree view,hiza_geri,hiza_geri__left45,no,
hiza_geri,right45,hiza_geri__right45,pending,,,,,,,,,needs source url: karate hiza geri knee strike tutorial right 45 degree view,hiza_geri,hiza_geri__right45,no,
hiza_geri,side,hiza_geri__side,pending,,,,,,,,,needs source url: karate hiza geri knee strike tutorial side view,hiza_geri,hiza_geri__side,no,
hiza_geri,side_left,hiza_geri__side_left,pending,,,,,,,,,needs source url: karate hiza geri knee strike tutorial side left view,hiza_geri,hiza_geri__side_left,no,
hiza_geri,side_right,hiza_geri__side_right,pending,,,,,,,,,needs source url: karate hiza geri knee strike tutorial side right view,hiza_geri,hiza_geri__side_right,no,
hiza_geri,behind,hiza_geri__behind,pending,,,,,,,,,needs source url: karate hiza geri knee strike tutorial back view,hiza_geri,hiza_geri__behind,no,
