technique,angle,reference_key,status,source_url,source_url_1,source_url_2,source_url_3,source_url_4,segment_start_s,segment_end_s,quality,notes,target_technique_key,record_reference_key,command_ready,command
jab,left45,jab__left45,ready,https://www.youtube.com/watch?v=k6-Jipxenzc,https://www.youtube.com/watch?v=k6-Jipxenzc,https://www.youtube.com/watch?v=P9gjzoNJCKs,https://www.youtube.com/watch?v=wzOCSocPGys,https://www.youtube.com/watch?v=M97ra0UR-40,,,auto: from Golden Seeds scout,auto from scout: 47 candidates found,jab,jab__left45,yes,
jab,right45,jab__right45,ready,https://www.youtube.com/watch?v=w8mTuLc7zJU,https://www.youtube.com/watch?v=w8mTuLc7zJU,https://www.youtube.com/watch?v=k6-Jipxenzc,https://www.youtube.com/watch?v=P9gjzoNJCKs,https://www.youtube.com/watch?v=wzOCSocPGys,,,auto: from Golden Seeds scout,auto from scout: 45 candidates found,jab,jab__right45,yes,
jab,front,jab__front,ready,https://www.youtube.com/watch?v=UMgN9zcC0Qw,https://www.youtube.com/watch?v=UMgN9zcC0Qw,https://www.youtube.com/watch?v=SW4Tx0wH65c,https://www.youtube.com/watch?v=R-ChXWqSUZ4,https://www.youtube.com/watch?v=HsKmzFmDrMs,,,auto: from Golden Seeds scout,auto from scout: 51 candidates found,jab,jab__front,yes,
